Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify if the records have property of pagination after every 25 records,RET-117,10145,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 10:45 AM,08/Sep/21 8:52 PM,09/Sep/21 4:55 AM,08/Sep/21 5:25 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000vz:,,RET Sprint 1,,,,,,,,Done
Verify if it is able to sort the filtered data according to the Date Modified column,RET-116,10144,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 10:01 AM,08/Sep/21 8:52 PM,09/Sep/21 4:55 AM,08/Sep/21 5:25 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000vr:,,RET Sprint 1,,,,,,,,Done
Verify if it is able to sort the filtered data according to the Date Added column,RET-115,10143,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 10:01 AM,08/Sep/21 8:52 PM,09/Sep/21 4:55 AM,08/Sep/21 5:25 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000vj:,,RET Sprint 1,,,,,,,,Done
Verify if it is able to sort the filtered data according to the Status column,RET-114,10142,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 10:00 AM,08/Sep/21 8:52 PM,09/Sep/21 4:55 AM,08/Sep/21 5:25 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000vb:,,RET Sprint 1,,,,,,,,Done
Verify if it is able to sort the filtered data according to the Model name column,RET-113,10141,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 10:00 AM,08/Sep/21 8:52 PM,09/Sep/21 4:55 AM,08/Sep/21 5:25 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000v3:,,RET Sprint 1,,,,,,,,Done
Verify if it is able to sort the filtered data according to the Product name column,RET-112,10140,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 9:59 AM,08/Sep/21 8:52 PM,09/Sep/21 4:55 AM,08/Sep/21 5:25 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000uv:,,RET Sprint 1,,,,,,,,Done
Verify if it is able to sort the filtered data according to the Customer name column,RET-111,10139,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 9:59 AM,08/Sep/21 8:52 PM,09/Sep/21 4:55 AM,08/Sep/21 5:24 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000un:,,RET Sprint 1,,,,,,,,Done
Verify if it is able to sort the filtered data according to the Order ID column,RET-110,10138,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 9:58 AM,08/Sep/21 8:52 PM,09/Sep/21 4:55 AM,08/Sep/21 5:24 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000uf:,,RET Sprint 1,,,,,,,,Done
Verify if it is able to sort the filtered data according to the Return ID column,RET-109,10137,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 9:52 AM,08/Sep/21 8:53 PM,09/Sep/21 4:55 AM,08/Sep/21 5:24 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000u7:,,RET Sprint 1,,,,,,,,Done
"Verify if after filtering records the view displayed have columns Return ID, Order ID, Customer name, Product name, Model name, Return Status, Date Added and Date Modified",RET-108,10136,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 9:36 AM,08/Sep/21 8:53 PM,09/Sep/21 4:55 AM,08/Sep/21 5:24 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000tz:,,RET Sprint 1,,,,,,,,Done
