Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify updated record when Return Status is updated without adding it in History,RET-97,10125,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 7:07 AM,08/Sep/21 8:54 PM,09/Sep/21 4:55 AM,08/Sep/21 5:23 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000rj:,,RET Sprint 1,,,,,,,,Done
Verify updated record when Return Action is updated,RET-96,10124,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 6:51 AM,08/Sep/21 8:54 PM,09/Sep/21 4:55 AM,08/Sep/21 5:23 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000rb:,,RET Sprint 1,,,,,,,,Done
Verify updated record when Opened status is updated,RET-95,10123,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 6:50 AM,08/Sep/21 8:54 PM,09/Sep/21 4:55 AM,08/Sep/21 5:23 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000r3:,,RET Sprint 1,,,,,,,,Done
Verify updated record when Return Reason is updated,RET-94,10122,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 6:47 AM,08/Sep/21 8:54 PM,09/Sep/21 4:55 AM,08/Sep/21 5:23 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000qv:,,RET Sprint 1,,,,,,,,Done
Verify updated record when comment is updated,RET-93,10121,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 6:42 AM,08/Sep/21 8:55 PM,09/Sep/21 4:55 AM,08/Sep/21 5:23 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000qn:,,RET Sprint 1,,,,,,,,Done
Verify updated record when Quantity is updated with invalid input,RET-92,10120,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 6:38 AM,08/Sep/21 8:55 PM,09/Sep/21 4:55 AM,08/Sep/21 5:22 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000qf:,,RET Sprint 1,,,,,,,,Done
Verify updated record when Quantity is updated with valid input,RET-91,10119,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 6:34 AM,08/Sep/21 8:55 PM,09/Sep/21 4:55 AM,08/Sep/21 5:22 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000q7:,,RET Sprint 1,,,,,,,,Done
Verify updated record when Model name is updated,RET-90,10118,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 6:25 AM,08/Sep/21 8:55 PM,09/Sep/21 4:55 AM,08/Sep/21 5:22 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000pz:,,RET Sprint 1,,,,,,,,Done
Verify updated record when Product name is updated,RET-89,10117,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 6:20 AM,08/Sep/21 8:55 PM,09/Sep/21 4:55 AM,08/Sep/21 5:22 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000pr:,,RET Sprint 1,,,,,,,,Done
Verify updated record when telephone number is updated with invalid input,RET-88,10116,Test,Block,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 6:17 AM,08/Sep/21 8:55 PM,09/Sep/21 4:55 AM,,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000pj:,,RET Sprint 1,,,,,,,,In Progress
Verify updated record when telephone number is updated with invalid input,RET-87,10115,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 6:09 AM,08/Sep/21 8:55 PM,09/Sep/21 4:55 AM,08/Sep/21 5:22 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000pb:,,RET Sprint 1,,,,,,,,Done
Verify updated record when telephone number is updated with valid input,RET-86,10114,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 5:57 AM,08/Sep/21 8:55 PM,09/Sep/21 4:55 AM,08/Sep/21 5:22 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000p3:,,RET Sprint 1,,,,,,,,Done
Verify updated record when email is updated with invalid input,RET-85,10113,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 5:53 AM,08/Sep/21 8:57 PM,09/Sep/21 4:55 AM,08/Sep/21 5:22 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000ov:,,RET Sprint 1,,,,,,,,Done
Verify updated record when email is updated with valid input,RET-84,10112,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 5:50 AM,08/Sep/21 8:57 PM,09/Sep/21 4:55 AM,08/Sep/21 5:22 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000on:,,RET Sprint 1,,,,,,,,Done
Verify updated record when Last name is updated,RET-83,10111,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 5:44 AM,08/Sep/21 8:57 PM,09/Sep/21 4:55 AM,08/Sep/21 5:22 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000of:,,RET Sprint 1,,,,,,,,Done
Verify updated record when First name is updated,RET-82,10110,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 5:41 AM,08/Sep/21 8:57 PM,09/Sep/21 4:55 AM,08/Sep/21 5:22 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000o7:,,RET Sprint 1,,,,,,,,Done
Verify updated record when Customer name is updated,RET-81,10109,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 5:39 AM,08/Sep/21 8:57 PM,09/Sep/21 4:55 AM,08/Sep/21 5:21 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000nz:,,RET Sprint 1,,,,,,,,Done
Verify updated record when Order date is updated with invalid input,RET-80,10108,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 5:38 AM,08/Sep/21 8:57 PM,09/Sep/21 4:55 AM,08/Sep/21 5:21 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000nr:,,RET Sprint 1,,,,,,,,Done
Verify updated record when Order date is updated with valid input,RET-79,10107,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 5:34 AM,08/Sep/21 8:57 PM,09/Sep/21 4:55 AM,08/Sep/21 5:21 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000nj:,,RET Sprint 1,,,,,,,,Done
Verify updated record when Order ID is updated with invalid input,RET-78,10106,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 5:24 AM,08/Sep/21 8:57 PM,09/Sep/21 4:55 AM,08/Sep/21 5:21 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000nb:,,RET Sprint 1,,,,,,,,Done
Verify updated record when Order ID is updated with valid input,RET-77,10105,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 5:21 AM,08/Sep/21 8:57 PM,09/Sep/21 4:55 AM,08/Sep/21 5:21 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000n3:,,RET Sprint 1,,,,,,,,Done
Verify after editing if any change is made in any of the field it is updated into the records,RET-76,10104,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 5:18 AM,08/Sep/21 8:57 PM,09/Sep/21 4:55 AM,08/Sep/21 5:21 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000mv:,,RET Sprint 1,,,,,,,,Done
Verify if after editing any information mandatory field is not kept blank,RET-75,10103,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 5:07 AM,08/Sep/21 8:58 PM,09/Sep/21 4:55 AM,08/Sep/21 5:21 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000mn:,,RET Sprint 1,,,,,,,,Done
Verify if it is able to edit all fields in general and history information,RET-74,10102,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 5:01 AM,08/Sep/21 8:58 PM,09/Sep/21 4:55 AM,08/Sep/21 5:21 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000mf:,,RET Sprint 1,,,,,,,,Done
Verify records when at least one field is filled and filter button is clicked,RET-73,10101,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,07/Sep/21 9:25 PM,08/Sep/21 8:58 PM,09/Sep/21 4:55 AM,08/Sep/21 5:21 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000m7:,,RET Sprint 1,,,,,,,,Done
Verify records when no field is filled and filter button is clicked ,RET-72,10100,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,07/Sep/21 9:22 PM,08/Sep/21 8:58 PM,09/Sep/21 4:55 AM,08/Sep/21 5:21 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000lz:,,RET Sprint 1,,,,,,,,Done
Verify if it is able to select date before the date in date added field,RET-71,10099,Test,Block,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,07/Sep/21 8:51 PM,08/Sep/21 8:58 PM,09/Sep/21 4:55 AM,,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000lr:,,RET Sprint 1,,,,,,,,In Progress
Verify if previously selected date is displayed when reselecting new date,RET-70,10098,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,07/Sep/21 8:48 PM,08/Sep/21 8:58 PM,09/Sep/21 4:55 AM,08/Sep/21 5:20 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000lj:,,RET Sprint 1,,,,,,,,Done
Verify if date selected in calendar get highlighted when mouse is hovered over it,RET-69,10097,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,07/Sep/21 8:45 PM,08/Sep/21 8:58 PM,09/Sep/21 4:55 AM,08/Sep/21 5:20 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000lb:,,RET Sprint 1,,,,,,,,Done
Verify if it is able to check the calendar of a particular month of any year.,RET-68,10096,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,07/Sep/21 8:41 PM,08/Sep/21 8:58 PM,09/Sep/21 4:55 AM,08/Sep/21 5:20 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000l3:,,RET Sprint 1,,,,,,,,Done
Verify if it is able to move to previous and next month’s calendar by choosing the left and right icon over the calendar.,RET-67,10095,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,07/Sep/21 8:39 PM,08/Sep/21 8:58 PM,09/Sep/21 4:55 AM,08/Sep/21 5:20 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000kv:,,RET Sprint 1,,,,,,,,Done
Verify if it is able to select any date after the current date,RET-66,10094,Test,Block,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,07/Sep/21 8:36 PM,08/Sep/21 8:58 PM,09/Sep/21 4:55 AM,,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000kn:,,RET Sprint 1,,,,,,,,In Progress
Verify if it is able to select any date before the current date,RET-65,10093,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,07/Sep/21 8:32 PM,08/Sep/21 8:58 PM,09/Sep/21 4:55 AM,08/Sep/21 5:20 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000kf:,,RET Sprint 1,,,,,,,,Done
Verify if it is able to edit a date that is already set in the calendar.,RET-64,10092,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,07/Sep/21 8:28 PM,08/Sep/21 8:58 PM,08/Sep/21 8:57 PM,08/Sep/21 5:19 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000k7:,,RET Sprint 1,,,,,,,,Done
Verify if it is able to enter date manually,RET-63,10091,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,07/Sep/21 8:24 PM,08/Sep/21 8:58 PM,08/Sep/21 8:57 PM,08/Sep/21 5:19 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000jz:,,RET Sprint 1,,,,,,,,Done
Verify if current date appears as default date in calendar widget,RET-62,10090,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,07/Sep/21 8:21 PM,08/Sep/21 8:59 PM,08/Sep/21 8:57 PM,08/Sep/21 5:19 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000jr:,,RET Sprint 1,,,,,,,,Done
Verify if a calendar widget appears when the Date modified field is selected,RET-61,10089,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,07/Sep/21 8:09 PM,08/Sep/21 8:59 PM,08/Sep/21 8:57 PM,08/Sep/21 5:19 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000jj:,,RET Sprint 1,,,,,,,,Done
Verify the Date modified field with invalid inputs that is with value that does not exist in the records,RET-60,10088,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,07/Sep/21 8:02 PM,08/Sep/21 9:00 PM,08/Sep/21 8:59 PM,08/Sep/21 5:19 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000jb:,,RET Sprint 1,,,,,,,,Done
Verify the Date modified field with valid inputs that is with value existing in the records,RET-59,10087,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,07/Sep/21 8:00 PM,08/Sep/21 9:01 PM,08/Sep/21 8:59 PM,08/Sep/21 5:19 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000j3:,,RET Sprint 1,,,,,,,,Done
